,num_primo
1995,37511
1996,37547
1997,37567
1998,37571
1999,37579
2000,37591
2001,37607
2002,37619
2003,37643
2004,37663
2005,37691
2006,37699
2007,37747
2008,37783
2009,37799
2010,37811
2011,37831
2012,37847
2013,37871
2014,37879
2015,37907
2016,37951
2017,37963
2018,37967
2019,37987
2020,37991
2021,38011
2022,38039
2023,38047
2024,38083
2025,38119
2026,38167
2027,38183
2028,38219
2029,38231
2030,38239
2031,38287
2032,38299
2033,38303
2034,38327
2035,38351
2036,38371
2037,38431
2038,38447
2039,38459
2040,38543
2041,38567
2042,38603
2043,38611
2044,38639
2045,38651
2046,38671
2047,38699
2048,38707
2049,38711
2050,38723
2051,38747
2052,38767
2053,38783
2054,38791
2055,38803
2056,38839
2057,38851
2058,38867
2059,38891
2060,38903
2061,38923
2062,38959
2063,38971
2064,39019
2065,39023
2066,39043
2067,39047
2068,39079
2069,39103
2070,39107
2071,39119
2072,39139
2073,39163
2074,39191
2075,39199
2076,39227
2077,39239
2078,39251
2079,39323
2080,39343
2081,39359
2082,39367
2083,39371
2084,39383
2085,39419
2086,39439
2087,39443
2088,39451
2089,39499
2090,39503
2091,39511
2092,39551
2093,39563
2094,39607
2095,39619
2096,39623
2097,39631
2098,39659
2099,39667
2100,39671
2101,39679
2102,39703
2103,39719
2104,39727
2105,39779
2106,39791
2107,39799
2108,39827
2109,39839
2110,39847
2111,39863
2112,39883
2113,39887
2114,39971
2115,39979
2116,39983
2117,40031
2118,40039
2119,40063
2120,40087
2121,40099
2122,40111
2123,40123
2124,40127
2125,40151
2126,40163
2127,40231
2128,40283
2129,40343
2130,40351
2131,40387
2132,40423
2133,40427
2134,40459
2135,40471
2136,40483
2137,40487
2138,40499
2139,40507
2140,40519
2141,40531
2142,40543
2143,40559
2144,40583
2145,40591
2146,40627
2147,40639
2148,40699
2149,40739
2150,40751
2151,40759
2152,40763
2153,40771
2154,40787
2155,40819
2156,40823
2157,40847
2158,40867
2159,40879
2160,40883
2161,40903
2162,40927
2163,40939
2164,41011
2165,41023
2166,41039
2167,41047
2168,41051
2169,41131
2170,41143
2171,41179
2172,41183
2173,41203
2174,41227
2175,41231
2176,41243
2177,41263
2178,41299
2179,41351
2180,41387
2181,41399
2182,41411
2183,41443
2184,41467
2185,41479
2186,41491
2187,41507
2188,41519
2189,41539
2190,41543
2191,41579
2192,41603
2193,41611
2194,41627
2195,41647
2196,41651
2197,41659
2198,41687
2199,41719
2200,41759
2201,41771
2202,41843
2203,41851
2204,41863
2205,41879
2206,41887
2207,41903
2208,41911
2209,41927
2210,41947
2211,41959
2212,41983
2213,41999
2214,42019
2215,42023
2216,42043
2217,42071
2218,42083
2219,42131
2220,42139
2221,42179
2222,42187
2223,42223
2224,42227
2225,42239
2226,42283
2227,42299
2228,42307
2229,42323
2230,42331
2231,42359
2232,42379
2233,42391
2234,42403
2235,42407
2236,42443
2237,42451
2238,42463
2239,42467
2240,42487
2241,42491
2242,42499
2243,42571
2244,42611
2245,42643
2246,42667
2247,42683
2248,42703
2249,42719
2250,42727
2251,42743
2252,42751
2253,42767
2254,42787
2255,42839
2256,42859
2257,42863
2258,42899
2259,42923
2260,42943
2261,42967
2262,42979
2263,43003
2264,43019
2265,43051
2266,43063
2267,43067
2268,43103
2269,43151
2270,43159
2271,43207
2272,43223
2273,43271
2274,43283
2275,43291
2276,43319
2277,43331
2278,43391
2279,43399
2280,43403
2281,43411
2282,43427
2283,43451
2284,43487
2285,43499
2286,43543
2287,43579
2288,43591
2289,43607
2290,43627
2291,43651
2292,43691
2293,43711
2294,43759
2295,43783
2296,43787
2297,43867
2298,43891
2299,43943
2300,43951
2301,43963
2302,43987
2303,43991
2304,44027
2305,44059
2306,44071
2307,44087
2308,44111
2309,44119
2310,44123
2311,44131
2312,44159
2313,44171
2314,44179
2315,44203
2316,44207
2317,44263
2318,44267
2319,44279
2320,44351
2321,44371
2322,44383
2323,44483
2324,44491
2325,44507
2326,44519
2327,44531
2328,44543
2329,44563
2330,44579
2331,44587
2332,44623
2333,44647
2334,44651
2335,44683
2336,44687
2337,44699
2338,44711
2339,44771
2340,44819
2341,44839
2342,44843
2343,44851
2344,44867
2345,44879
2346,44887
2347,44927
2348,44939
2349,44959
2350,44963
2351,44971
2352,44983
2353,44987
2354,45007
2355,45083
2356,45119
2357,45127
2358,45131
2359,45139
2360,45179
2361,45191
2362,45247
2363,45259
2364,45263
2365,45307
2366,45319
2367,45343
2368,45403
2369,45427
2370,45439
2371,45491
2372,45503
2373,45523
2374,45587
2375,45599
2376,45631
2377,45659
2378,45667
2379,45691
2380,45707
2381,45751
2382,45763
2383,45767
2384,45779
2385,45823
2386,45827
2387,45863
2388,45887
2389,45943
2390,45959
2391,45971
2392,45979
2393,46027
2394,46051
2395,46091
2396,46099
2397,46103
2398,46147
2399,46171
2400,46183
2401,46187
2402,46199
2403,46219
2404,46271
2405,46279
2406,46307
2407,46327
2408,46351
2409,46399
2410,46411
2411,46439
2412,46447
2413,46451
2414,46471
2415,46499
2416,46507
2417,46511
2418,46523
2419,46559
2420,46567
2421,46591
2422,46619
2423,46639
2424,46643
2425,46663
2426,46679
2427,46687
2428,46691
2429,46703
2430,46723
2431,46727
2432,46747
2433,46751
2434,46771
2435,46807
2436,46811
2437,46819
2438,46831
2439,46867
2440,46919
2441,47051
2442,47059
2443,47087
2444,47111
2445,47119
2446,47123
2447,47143
2448,47147
2449,47207
2450,47251
2451,47279
2452,47287
2453,47303
2454,47339
2455,47351
2456,47363
2457,47387
2458,47407
2459,47419
2460,47431
2461,47459
2462,47491
2463,47507
2464,47527
2465,47543
2466,47563
2467,47591
2468,47599
2469,47623
2470,47639
2471,47659
2472,47699
2473,47711
2474,47743
2475,47779
2476,47791
2477,47807
2478,47819
2479,47843
2480,47903
2481,47911
2482,47939
2483,47947
2484,47951
2485,47963
2486,48023
2487,48079
2488,48091
2489,48119
2490,48131
2491,48163
2492,48179
2493,48187
2494,48239
2495,48247
2496,48259
2497,48271
2498,48299
2499,48311
2500,48371
2501,48383
2502,48407
2503,48463
2504,48479
2505,48487
2506,48491
2507,48523
